,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure
0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e493f040-59f3-41f8-994d-d4a6585d1be9,1,,,3773369,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 43728, 'name': 'Óscar Mingueza García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 21}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 21881, 'name': 'Sergino Dest'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Barcelona,00:00:00.000,Starting XI,
1,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7591594f-e6aa-4567-aad0-ef39ef3742a1,2,,,3773369,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 25598, 'name': 'Álvaro Fernández Llorente'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11677, 'name': 'Jorge Pulido Mayoral'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6603, 'name': 'Dimitrios Siovas'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 18}, {'player': {'id': 21399, 'name': 'Pablo Ínsua Blanco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6564, 'name': 'Pablo Maffeo Becerra'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 23322, 'name': 'Javier Galán Gil'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 23307, 'name': 'Idrissa Doumbia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 11670, 'name': 'David Ferreiro Quiroga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 6656, 'name': 'Mikel Rico Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 24681, 'name': 'Daniel Escriche Romero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 23812, 'name': 'Rafael Mir Vicente'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Huesca,00:00:00.000,Starting XI,
2,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2435e0ff-1ec4-4b87-bfb6-c1bba82e0b5f,3,,,3773369,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['eed6c49f-a1a2-4aa3-b7c4-ac5a803bb216'],0,,,,,,,,,,,,,,,,Huesca,00:00:00.000,Half Start,
3,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,eed6c49f-a1a2-4aa3-b7c4-ac5a803bb216,4,,,3773369,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['2435e0ff-1ec4-4b87-bfb6-c1bba82e0b5f'],0,,,,,,,,,,,,,,,,Barcelona,00:00:00.000,Half Start,
4,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6acd7cb5-73a5-4811-9bb7-08b3feb9369c,2552,,,3773369,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Other,,,,88,Huesca,902,['c84628f1-cf84-46d2-bf3b-6135e1e8422c'],0,,,,,,,,,,,,,,,,Barcelona,00:00:00.000,Half Start,
5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c84628f1-cf84-46d2-bf3b-6135e1e8422c,2553,,,3773369,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Other,,,,88,Huesca,902,['6acd7cb5-73a5-4811-9bb7-08b3feb9369c'],0,,,,,,,,,,,,,,,,Huesca,00:00:00.000,Half Start,
6,,,,,,,,,,,,,,,,,,0.720672,,,,,,,,,,,,,ed2a84b4-c8fb-47d5-a702-ce308e432b20,5,,"[61.0, 40.1]",3773369,0,,,,,-2.2794225,,Left Foot,,"[59.2, 38.0]",,Ground Pass,,2.7658634,,,,,Ousmane Dembélé,,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Attacking Midfield,2,Barcelona,217,['107d960c-6a36-49bf-afa6-139be8505220'],1,,,,,,,,,,,,,,,,Barcelona,00:00:01.140,Pass,
7,,,,,,,,,,,,,,,,,,0.855618,,,,,,,,,,,,,ef4863dc-f927-4a7e-a787-306c86ef696a,8,,"[58.3, 38.6]",3773369,0,,,,,2.3826435,,Left Foot,,"[48.6, 47.8]",,Ground Pass,,13.368994,,,,,Sergio Busquets i Burgos,,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,Center Forward,2,Barcelona,217,['a72c6c58-b02c-4ae2-9720-cf5864eb2668'],1,,,,,,,,,,,,,,,,Barcelona,00:00:01.940,Pass,
8,,,,,,,,,,,,,,,,,,1.450015,,,,,,,,,,,,,49ea57e1-4b0e-4e09-9b26-0b5f07f04024,11,,"[48.0, 49.8]",3773369,0,,,,,1.3076552,,Right Foot,,"[54.6, 74.3]",,Ground Pass,,25.373411,,,,,Sergino Dest,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['02df03ee-0074-4dfe-b911-17c7d18310a6'],3,,,,,,,,,,,,,,,,Barcelona,00:00:03.569,Pass,
9,,,,,,,,,,,,,,,,,,1.469523,,,,,,,,,,,,,a9e2d9f6-34f8-41c6-9612-5bbac1401d9d,14,,"[55.5, 74.3]",3773369,0,,,,,-2.6376212,,Right Foot,,"[41.9, 66.8]",,Ground Pass,,15.530937,,,,,Óscar Mingueza García,,,,,,,1,From Kick Off,Sergino Dest,21881.0,Right Wing Back,2,Barcelona,217,['f01510d7-53cb-4d76-9b5b-46014969dc3e'],6,,,,,,,,,,,,,,,,Barcelona,00:00:06.116,Pass,
