,match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
0,3773369,2021-03-15,21:00:00.000,Spain - La Liga,2020/2021,Barcelona,Huesca,4,1,available,available,2021-03-16T12:45:17.775814,2021-07-27T01:28:10.084649,27,Regular Season,Camp Nou,Adrián Cordero Vega,Ronald Koeman,Juan José Rojo Martín,1.1.0,2,2
1,3773387,2021-05-11,22:00:00.000,Spain - La Liga,2020/2021,Levante,Barcelona,3,3,available,available,2021-05-13T00:20:44.739341,2021-07-27T01:16:02.992919,36,Regular Season,Estadio Ciudad de Valencia,José Luis Munuera Montero,Francisco José López Fernández,Ronald Koeman,1.1.0,2,2
2,3773372,2021-05-08,16:15:00.000,Spain - La Liga,2020/2021,Barcelona,Atlético Madrid,0,0,available,available,2021-05-10T04:24:10.396826,2021-07-27T01:16:38.082497,35,Regular Season,Camp Nou,Antonio Miguel Mateu Lahoz,Ronald Koeman,Diego Pablo Simeone,1.1.0,2,2
3,3773695,2021-05-02,21:00:00.000,Spain - La Liga,2020/2021,Valencia,Barcelona,2,3,available,available,2021-05-07T13:24:24.423335,2021-07-27T01:18:50.218008,34,Regular Season,Estadio de Mestalla,José María Sánchez Martínez,Javier Gracia Carlos,Ronald Koeman,1.1.0,2,2
4,3773586,2021-04-29,19:00:00.000,Spain - La Liga,2020/2021,Barcelona,Granada,1,2,available,available,2021-07-06T16:43:21.218,2021-07-27T01:19:41.897076,33,Regular Season,Camp Nou,Pablo González Fuertes,Ronald Koeman,Diego Martínez Penas,1.1.0,2,2
5,3773457,2021-05-16,18:30:00.000,Spain - La Liga,2020/2021,Barcelona,Celta Vigo,1,2,available,available,2021-06-20T20:33:31.040,2021-07-27T01:13:55.759882,37,Regular Season,Camp Nou,,Ronald Koeman,Eduardo Germán Coudet,1.1.0,2,2
6,3773377,2020-12-19,16:15:00.000,Spain - La Liga,2020/2021,Barcelona,Valencia,2,2,available,available,2020-12-20T07:18:59.839572,2021-07-27T01:48:16.309028,14,Regular Season,Camp Nou,Alejandro José Hernández Hernández,Ronald Koeman,Javier Gracia Carlos,1.1.0,2,2
7,3773656,2020-11-21,21:00:00.000,Spain - La Liga,2020/2021,Atlético Madrid,Barcelona,1,0,available,available,2020-11-24T06:29:13.401420,2021-07-27T01:54:30.111784,10,Regular Season,Estadio Wanda Metropolitano,,Diego Pablo Simeone,Ronald Koeman,1.1.0,2,2
8,3773565,2021-01-09,18:30:00.000,Spain - La Liga,2020/2021,Granada,Barcelona,0,4,available,available,2021-01-22T23:08:43.905455,2021-07-27T01:41:40.037499,18,Regular Season,Estadio Nuevo Los Cármenes,Ricardo De Burgos Bengoetxea,Diego Martínez Penas,Ronald Koeman,1.1.0,2,2
9,3773386,2020-10-31,21:00:00.000,Spain - La Liga,2020/2021,Deportivo Alavés,Barcelona,1,1,available,available,2020-11-01T22:50:14.134910,2021-07-27T01:55:48.686235,8,Regular Season,Estadio de Mendizorroza,,Pablo Javier Machín Díez,Ronald Koeman,1.1.0,2,2
10,3773587,2020-10-17,21:00:00.000,Spain - La Liga,2020/2021,Getafe,Barcelona,1,0,available,available,2020-10-19T10:06:09.466199,2021-07-27T02:01:25.285432,6,Regular Season,Coliseum Alfonso Pérez,César Soto Grado,José Bordalás Jiménez,Ronald Koeman,1.1.0,2,2
11,3773672,2020-10-04,21:00:00.000,Spain - La Liga,2020/2021,Barcelona,Sevilla,1,1,available,available,2020-10-08T01:08:23.754604,2021-07-27T02:02:27.905844,5,Regular Season,Camp Nou,Jesús Gil Manzano,Ronald Koeman,Julen Lopetegui Argote,1.1.0,2,2
12,3773585,2020-10-24,16:00:00.000,Spain - La Liga,2020/2021,Barcelona,Real Madrid,1,3,available,available,2020-10-27T07:32:53.297924,2021-07-27T01:59:12.344769,7,Regular Season,Camp Nou,Juan Martínez Munuera,Ronald Koeman,Zinédine Zidane,1.1.0,2,2
13,3773466,2020-10-01,21:30:00.000,Spain - La Liga,2020/2021,Celta Vigo,Barcelona,0,3,available,available,2020-10-10T23:54:35.553376,2021-07-27T02:04:08.680985,4,Regular Season,Abanca-Balaídos,Carlos del Cerro Grande,Óscar García Junyent,Ronald Koeman,1.1.0,2,2
14,3773552,2021-01-03,21:00:00.000,Spain - La Liga,2020/2021,Huesca,Barcelona,0,1,available,available,2021-05-09T12:03:31.185940,2021-07-27T01:43:26.727321,17,Regular Season,Estadio El Alcoraz,Guillermo Cuadra Fernández,Miguel Ángel Sánchez Muñoz,Ronald Koeman,1.1.0,2,2
15,3773593,2020-09-27,21:00:00.000,Spain - La Liga,2020/2021,Barcelona,Villarreal,4,0,available,available,2020-09-29T07:17:09.292323,2021-09-17T15:12:45.159882,3,Regular Season,Camp Nou,Guillermo Cuadra Fernández,Ronald Koeman,Unai Emery Etxegoien,1.1.0,2,2
16,3773660,2020-12-13,21:00:00.000,Spain - La Liga,2020/2021,Barcelona,Levante,1,0,available,available,2020-12-14T19:50:12.485814,2021-07-27T01:49:38.419356,13,Regular Season,Camp Nou,Ricardo De Burgos Bengoetxea,Ronald Koeman,Francisco José López Fernández,1.1.0,2,2
17,3773661,2021-04-22,22:00:00.000,Spain - La Liga,2020/2021,Barcelona,Getafe,5,2,available,available,2021-04-23T20:17:32.331635,2021-07-27T01:22:29.079288,31,Regular Season,Camp Nou,Jorge Figueroa Vázquez,Ronald Koeman,José Bordalás Jiménez,1.1.0,2,2
18,3773597,2021-03-21,21:00:00.000,Spain - La Liga,2020/2021,Real Sociedad,Barcelona,1,6,available,available,2021-03-22T21:28:32.452567,2021-07-27T01:27:25.148596,28,Regular Season,Reale Arena,José Luis Munuera Montero,Imanol Alguacil Barrenetxea,Ronald Koeman,1.1.0,2,2
19,3773523,2020-12-16,21:00:00.000,Spain - La Liga,2020/2021,Barcelona,Real Sociedad,2,1,available,available,2021-02-12T00:19:52.866831,2021-07-27T01:39:46.037203,19,Regular Season,Camp Nou,José María Sánchez Martínez,Ronald Koeman,Imanol Alguacil Barrenetxea,1.1.0,2,2
20,3773571,2020-12-22,22:00:00.000,Spain - La Liga,2020/2021,Real Valladolid,Barcelona,0,3,available,available,2020-12-23T12:38:49.833517,2021-07-27T01:47:23.053213,15,Regular Season,Estadio Municipal José Zorrilla,Mario Melero López,Sergio González Soriano,Ronald Koeman,1.1.0,2,2
21,3773497,2021-04-10,21:00:00.000,Spain - La Liga,2020/2021,Real Madrid,Barcelona,2,1,available,available,2021-04-25T19:46:09.138046,2021-07-27T01:24:31.046887,30,Regular Season,Estadio Alfredo Di Stéfano,Jesús Gil Manzano,Zinédine Zidane,Ronald Koeman,1.1.0,2,2
22,3773631,2021-02-07,21:00:00.000,Spain - La Liga,2020/2021,Real Betis,Barcelona,2,3,available,available,2021-02-24T16:46:37.954522,2021-07-27T01:35:16.325565,22,Regular Season,Estadio Benito Villamarín,,Manuel Luis Pellegrini Ripamonti,Ronald Koeman,1.1.0,2,2
23,3773665,2021-03-06,21:00:00.000,Spain - La Liga,2020/2021,Osasuna,Barcelona,0,2,available,available,2021-03-13T21:42:56.642447,2021-07-27T01:30:06.073412,26,Regular Season,Estadio El Sadar,Guillermo Cuadra Fernández,Jagoba Arrasate Elustondo,Ronald Koeman,1.1.0,2,2
24,3773428,2020-12-05,21:00:00.000,Spain - La Liga,2020/2021,Cádiz,Barcelona,2,1,available,processing,2021-01-16T01:16:03.286774,2021-08-11T14:53:47.347571,12,Regular Season,Estadio Nuevo Mirandilla,César Soto Grado,Álvaro Cervera Díaz,Ronald Koeman,1.1.0,2,2
25,3764661,2021-01-06,21:00:00.000,Spain - La Liga,2020/2021,Athletic Club,Barcelona,2,3,available,available,2021-05-07T04:07:28.081860,2021-07-26T15:32:17.385768,2,Regular Season,San Mamés Barria,Carlos del Cerro Grande,Marcelino García Toral,Ronald Koeman,1.1.0,2,2
26,3773526,2021-02-13,21:00:00.000,Spain - La Liga,2020/2021,Barcelona,Deportivo Alavés,5,1,available,available,2021-02-14T16:59:10.494786,2021-07-27T01:33:28.078805,23,Regular Season,Camp Nou,Jorge Figueroa Vázquez,Ronald Koeman,Abelardo Fernández Antuña,1.1.0,2,2
27,3773474,2021-04-05,21:00:00.000,Spain - La Liga,2020/2021,Barcelona,Real Valladolid,1,0,available,available,2021-04-12T07:10:50.227712,2021-07-27T01:25:11.305513,29,Regular Season,Camp Nou,Santiago Jaime Latre,Ronald Koeman,Sergio González Soriano,1.1.0,2,2
28,3773625,2021-02-27,16:15:00.000,Spain - La Liga,2020/2021,Sevilla,Barcelona,0,2,available,available,2021-11-28T09:47:02.505122,2021-07-27T01:31:49.552290,25,Regular Season,Estadio Ramón Sánchez Pizjuán,Alejandro José Hernández Hernández,Julen Lopetegui Argote,Ronald Koeman,1.1.0,2,2
29,3773403,2021-01-31,21:00:00.000,Spain - La Liga,2020/2021,Barcelona,Athletic Club,2,1,available,available,2021-05-28T13:27:02.231,2021-07-27T01:36:16.430,21,Regular Season,Camp Nou,Antonio Miguel Mateu Lahoz,Ronald Koeman,Marcelino García Toral,1.1.0,2,2
30,3773547,2020-11-29,14:00:00.000,Spain - La Liga,2020/2021,Barcelona,Osasuna,4,0,available,available,2020-11-30T09:14:36.663981,2021-07-27T01:50:06.574670,11,Regular Season,Camp Nou,Antonio Miguel Mateu Lahoz,Ronald Koeman,Jagoba Arrasate Elustondo,1.1.0,2,2
31,3773415,2021-02-21,14:00:00.000,Spain - La Liga,2020/2021,Barcelona,Cádiz,1,1,available,available,2021-02-22T17:44:36.917392,2021-07-27T01:32:23.014608,24,Regular Season,Camp Nou,Juan Martínez Munuera,Ronald Koeman,Álvaro Cervera Díaz,1.1.0,2,2
32,3764440,2021-02-24,19:00:00.000,Spain - La Liga,2020/2021,Barcelona,Elche,3,0,available,available,2021-02-25T05:32:07.474640,2021-07-26T15:28:42.810666,1,Regular Season,Camp Nou,Isidro Díaz de Mera Escuderos,Ronald Koeman,Francisco Escriba Segura,1.1.0,2,2
33,3773689,2021-04-25,16:15:00.000,Spain - La Liga,2020/2021,Villarreal,Barcelona,1,2,available,available,2021-04-30T22:03:33.848837,2021-07-27T01:21:50.389449,32,Regular Season,Estadio de la Cerámica,Carlos del Cerro Grande,Unai Emery Etxegoien,Ronald Koeman,1.1.0,2,2
34,3773477,2020-11-07,16:15:00.000,Spain - La Liga,2020/2021,Barcelona,Real Betis,5,2,available,available,2020-12-09T11:00:37.864371,2021-07-27T01:56:50.756651,9,Regular Season,Camp Nou,,Ronald Koeman,Manuel Luis Pellegrini Ripamonti,1.1.0,2,2
